Key,Defunct,Latitude,Longitude,Fullname,Region,Spring,SummerUnit,Fall,Notes
Vulcan,false,50.4047,-113.2833,Vulcan Cadet Flying Site,Northwest,TRUE,FALSE,TRUE,
Abbotsford,false,49.02527778,-122.3605556,Abbotsford Cadet Flying Site,Pacific,FALSE,FALSE,FALSE,
AD4,true,49.05555556,-117.6091667,Trail,Pacific,,,,
AU3,true,49.17333333,-119.5511111,Oliver,Pacific,,,,
BS8,true,49.32194444,-124.9311111,Port Alberni,Pacific,,,,
Chilliwack,FALSE,49.153752,-121.941675,Chilliwack Cadet Flying Site,Pacific,TRUE,FALSE,TRUE,
Comox,false,49.71083333,-124.8866667,Comox Cadet Flight Training Centre,Pacific,TRUE,TRUE,TRUE,
Comox,FALSE,49.71083333,-124.8866667,Comox Cadet Flying Site,Pacific,FALSE,FALSE,FALSE,
Cranbrook,FALSE,49.612097,-115.784019,Cranbrook Cadet Flying Site,Pacific,FALSE,FALSE,FALSE,
Grand Forks,false,49.01555556,-118.4305556,Grand Forks Cadet Flying Site,Pacific,FALSE,FALSE,FALSE,
Hope,TRUE,49.36833333,-121.4980556,Hope Cadet Flying Site,Pacific,TRUE,FALSE,TRUE,
Langley,false,49.10111111,-122.6305556,Langley Cadet Flying Site,Pacific,FALSE,FALSE,FALSE,
Nanaimo,false,49.05222222,-123.8702778,Nanaimo Cadet Flying Site,Pacific,FALSE,FALSE,FALSE,
Oliver,false,49.17333333,-119.5511111,Oliver Cadet Flying Site,Pacific,FALSE,FALSE,FALSE,
Pac Ops,false,49.71083333,-124.8866667,Pacific Region Air Ops,Pacific,TRUE,FALSE,TRUE,
Pitt Meadows,false,49.21611111,-122.71,Pitt Meadows Cadet Flying Site,Pacific,FALSE,FALSE,FALSE,
Port Alberni,TRUE,49.32194444,-124.9311111,Port Alberni Cadet Flying Site,Pacific,TRUE,FALSE,TRUE,
Prince George,false,53.88416667,-122.6775,Prince George Cadet Flying Site,Pacific,FALSE,FALSE,FALSE,
RGS (P),true,49.71083333,-124.8866667,Region Gliding School Pacific,Pacific,,TRUE,,
