CCV4,47.63333333,-52.98333333
CCE4,53.47,-55.7875
CCP2,49.05611111,-55.44805556
CYCA,53.68277778,-57.04194444
CCH4,52.765,-56.11555556
CZUM,53.56194444,-64.10638889
CCZ3,48.27472222,-53.92388889
CCR8,47.925,-55.57777778
CYDF,49.21111111,-57.39138889
CDY3,49.6575,-54.2375
CYQX,48.93694444,-54.56805556
CFW8,48.92472222,-55.64722222
CYYR,53.31916667,-60.42583333
CHG2,47.68555556,-53.25388889
CYHO,55.44833333,-60.22861111
CYFT,55.07722222,-59.1875
CYMH,52.30277778,-55.84777778
CYDP,56.55055556,-61.68222222
CNH2,55.91388889,-61.18444444
CCM4,50.68888889,-57.33138889
CCP4,52.52805556,-56.28611111
CCD4,54.91027778,-59.78527778
CCZ2,54.17972222,-58.4575
CCD2,49.47888889,-56.17805556
CDA5,47.77583333,-59.3125
CYAY,51.39194444,-56.08305556
CYYT,47.61861111,-52.7525
CCK4,52.37277778,-55.67388889
CYJT,48.54138889,-58.55
CVB2,56.34472222,-62.08805556
CYWK,52.92277778,-66.86472222
CCA6,52.5675,-55.785
CCC2,47.13694444,-55.32916667
CCB3,45.81194444,-64.22027778
CDW2,46.16416667,-60.79166667
CDY6,44.38194444,-64.4575
CDL8,45.40944444,-62.61861111
CCQ3,45.41861111,-63.46055556
CDH3,43.96222222,-65.99416667
CYID,44.54555556,-65.78888889
CCY4,45.11666667,-63.7
CFH4,45.87,-63.46111111
CYZX,44.98444444,-64.91694444
CYHZ,44.88083333,-63.50861111
CYAU,44.23027778,-64.85611111
CLE4,43.62222222,-65.76222222
CCZ4,46.34111111,-60.97972222
CYPD,45.65666667,-61.36805556
CCF4,44.71,-63.30166667
CSB2,43.93055556,-59.95972222
CCW4,45.10055556,-63.92055556
CYQY,46.16138889,-60.04805556
CCZ5,45.56055556,-62.59472222
CYTN,45.61194444,-62.62111111
CCW3,45.05194444,-64.65166667
CYQI,43.82694444,-66.08805556
CCA3,46.43333333,-62.58333333
CYYG,46.28916667,-63.11916667
CYSU,46.44055556,-63.83361111
CZBF,47.62972222,-65.73888889
CCJ3,47.44861111,-67.62472222
CDA6,46.45944444,-67.56472222
CCX3,45.56666667,-67.1
CDT5,46.50944444,-64.69388889
CYCL,47.99083333,-66.33027778
CCS4,46.14861111,-65.90416667
CDJ4,46.71333333,-66.82833333
CDU6,46.5525,-66.09388889
CDV2,47.75361111,-67.42611111
CYES,47.49055556,-68.48194444
CCR3,46.42611111,-67.62805556
CYFC,45.86888889,-66.53722222
CCF9,45.96027778,-67.09527778
CCK3,47.075,-67.685
CCN2,44.71333333,-66.79638889
CCS5,45.98638889,-65.30194444
CCE3,46.56277778,-67.16833333
CCG3,46.0375,-66.85888889
CYCH,47.00777778,-65.44916667
CYQM,46.11222222,-64.67861111
CCG4,46.15388889,-64.76861111
CDA4,47.71638889,-64.8825
CYSJ,45.31611111,-65.89027778
CCM3,47.18333333,-66.15
CSB5,46.25472222,-64.57666667
CYSL,47.1575,-67.83472222
CCS3,45.2075,-67.25055556
CDC4,47.52111111,-67.42111111
CCY3,45.68638889,-65.54194444
CCH2,46.5875,-67.71916667
CCD3,45.68638889,-65.54194444
