CFW4,57.1375,-110.8925
CNP6,55.91444444,-117.1352778
CFB5,57.38333333,-112.8
CRF4,50.76472222,-113.9580556
CFX2,50.73527778,-113.9347222
CFK6,51.85,-114.0666667
CEA3,51.71111111,-114.1061111
CED3,51.33416667,-110.4913889
CPB8,59.63833333,-118.3330556
CYPE,56.22694444,-117.4472222
CZPC,49.52055556,-113.9972222
CEH3,52.65194444,-113.6044444
CEH6,52.33805556,-110.2788889
CYOP,58.49138889,-119.4077778
CYQF,52.18222222,-113.8944444
CRD4,52.26194444,-113.9513889
CEH5,56.54638889,-115.2741667
CFC7,52.68194444,-114.2375
CYRM,52.42972222,-114.9041667
CFC6,51.26666667,-113.1166667
CYZH,55.29305556,-114.7772222
CEZ3,53.4275,-113.1158333
CFS5,55.78361111,-118.8397222
CSL4,54.30138889,-111.4977778
CEW3,53.99333333,-111.3802778
CFB7,59.63333333,-117.1666667
CEJ3,52.31,-112.7538889
CSP3,53.5375,-114.0683333
CAP9,50.99388889,-113.3719444
CDJ5,51.13416667,-113.5602778
CFR7,51.65138889,-115.2391667
CFN7,51.77416667,-114.6769444
CFZ5,51.73333333,-114.6666667
CEM5,54.67083333,-115.4147222
CED5,49.82666667,-112.185
CFM6,56.45944444,-114.1191667
CEN3,51.69666667,-113.2091667
CEV7,53.37111111,-112.6966667
CFB4,56.5,-114.7166667
CFY6,50.65444444,-114.3441667
CEL6,53.7,-111.7833333
