CFR5,46.09333333,-80.60416667
CNS4,45.33333333,-74.61666667
CNY4,44.18333333,-79.83333333
CYYW,50.29027778,-88.90972222
CNP3,45.41361111,-76.36583333
CAR5,43.78305556,-80.43361111
CMZ2,43.81055556,-80.43583333
CPK9,43.77083333,-80.485
CPC3,43.85,-80.45
CYIB,48.77388889,-91.63861111
CYAT,52.9275,-82.43194444
CNN4,43.69416667,-81.0025
CAT1,43.68333333,-81.00444444
CAY5,43.30583333,-80.49916667
CPB9,44.26722222,-79.34055556
CNW3,45.07305556,-77.88055556
CPF2,46.42027778,-84.09222222
CYLS,44.48527778,-79.55555556
CNZ4,45.5,-77.65
CNE3,53.96555556,-91.02722222
CBV2,44.4475,-79.10027778
CBN7,44.45944444,-79.12611111
CNU4,44.19222222,-77.30944444
CBF2,43.80833333,-80.31194444
CEF2,43.8375,-80.36916667
CYTL,53.81777778,-89.89694444
CPM7,44.13611111,-79.62888889
CNC3,43.76027778,-79.875
CYFD,43.13138889,-80.3425
CNL3,44.63944444,-75.75027778
CPD4,43.75,-81.23333333
CZBA,43.44166667,-79.85027778
CYKZ,43.86222222,-79.37
CPE4,43.44277778,-80.23222222
CCE6,44.32583333,-76.7925
CNX3,49.75,-84.03333333
CNR6,45.10388889,-76.12333333
CYRP,45.3225,-76.02222222
CYAC,51.72722222,-91.82444444
CYCE,43.28555556,-81.50833333
CYLD,47.82,-83.34666667
CNZ3,42.30638889,-82.08194444
CPF4,45.595,-76.83333333
CYCN,49.10555556,-81.01361111
CNY3,44.44916667,-80.15833333
CCN4,44.0325,-80.48555556
CCT2,44.23888889,-79.63888889
CFK8,44.13277778,-79.725
CYCC,45.09277778,-74.56777778
CRB2,42.14,-82.65277778
CRE3,43.06638889,-80.70027778
CKF9,50.7175,-90.68361111
CPH2,46.11666667,-77.53333333
CYVZ,52.65583333,-94.06138889
CYHD,49.83166667,-92.74416667
CTF4,44.17444444,-80.30833333
CDG3,43.83638889,-81.60666667
CDU9,42.87222222,-79.59583333
CNF8,45.31333333,-78.975
CKX3,49.75,-93.13333333
CYXR,47.695,-79.84888889
CEL3,44.66083333,-80.94416667
CNV8,44.44111111,-79.96277778
CPE3,47.72861111,-80.31583333
CYEL,46.35138889,-82.56138889
CPG4,43.59194444,-80.51222222
CNT6,43.58472222,-80.60305556
CPR2,45.24111111,-75.29861111
CNA4,45.55,-79.35
CNE9,42.09583333,-82.87944444
CEB8,42.18666667,-82.78222222
CPD2,43.745,-81.17666667
CPY9,43.72861111,-80.28305556
CPG7,43.735,-80.44722222
CPR9,43.74194444,-80.38527778
CVF2,43.72305556,-80.28916667
CPH9,43.88805556,-80.99527778
CYFA,52.20138889,-81.69694444
CNJ3,42.91666667,-78.95555556
CYAG,48.65416667,-93.43972222
